etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;localisation;LAT;LONG;uai;anciens_codes_uai;identifiant_wikidata;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
JpuNC;École nationale supérieure maritime;;ENSM;Grand établissement;;public;Normandie>Seine-Maritime>Le Havre;49.48841;0.12238;"0922706S;0760166T";"0350092K;0130234J";Q3578264;01/10/2010;Décret n° 2010-1129 du 28 septembre 2010 portant création de l'Ecole nationale supérieure maritime;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000022862578/;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;10 quai Frissard;;;76600;Le Havre;France;;;;;;;;;;;;;
mFZJs;ESIEE Paris;;;École;;privé;Île-de-France>Créteil>Seine-Saint-Denis>Paris>Noisy-le-Grand;48.83999;2.58392;0932019P;;Q3046118;01/03/1968;;;93051;Noisy-le-Grand;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;R11;Île-de-France;Cité Descartes;2 boulevard Blaise Pascal;;BP 99;93162;Noisy-le-Grand CEDEX;France;;;;;;;;;;;;;
3Um0y;Institut catholique de Lyon;UCLY;;École;;privé;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 2e;45.74658;4.82637;0690195M;;Q8618;1875;;;69382;Lyon 2e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;10 place des Archives;;;69002;Lyon;France;;;;;;;;;;;;;
wp55m;IAE Paris - Sorbonne Business School;IAE de Paris;IAE Paris;École;;public;Île-de-France>Paris>Paris 5e;48.83839;2.348565;0753364Z;;Q3151899;01/01/1956;;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;21 Rue Broca;;;75005;Paris;France;1099;1109;892;1097;1224;1554;1516;1811;1767.0;1746.0;1709.0;1937.0;2001.0
hfCvd;Sciences Po Lyon;IEP de Lyon;IEP Lyon;Autre établissement;;public;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 7e;45.7471;4.8354;0690173N;;Q2253344;06/05/1948;;;69387;Lyon 7e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;14 avenue Berthelot;;;69007;Lyon;France;1615;1590;1515;1491;1504;1540;1531;1577;1662.0;1714.0;1694.0;1780.0;1726.0
XqK4j;Institut Sup'Biotech de Paris;Sup'Biotech;ISBP;École;;privé;Île-de-France>Créteil>Val-de-Marne>Paris>Villejuif;48.798078;2.35715;0942193Y;;Q1822570;2003;;;94076;Villejuif;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;66 rue Guy Môquet;;;94800;Villejuif;France;;;;;;;;;;;;;
97b8l;Institut supérieur du commerce de Paris;ISC Paris Business School;;École;;privé;Île-de-France>Paris>Paris 17e;48.892604;2.301231;0750252S;;Q1665124;1963;;;75117;Paris 17e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;22 boulevard du Fort de Vaux;;;75848;Paris CEDEX 17;France;;;;;;;;;;;;;
s3t8T;Université Côte d'Azur;;UCA;Grand établissement;Université pluridisciplinaire avec santé;public;Provence-Alpes-Côte d'Azur>Nice>Alpes-Maritimes>Nice;43.71693;7.26664;0062205P;"0062126D;0060931E";Q80186910;27/07/2019;Décret n° 2019-785 du 25 juillet 2019 portant création d'Université Côte d'Azur et approbation de ses statuts;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000038821787/;6088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;28 avenue Valrose;;BP 2135;6103;Nice CEDEX 2;France;;;;;;;;;;29954.0;30561.0;30832.0;29817.0
p25Q3;Université de Caen Normandie;UNICAEN;UNICAEN;Université;Université pluridisciplinaire avec santé;public;Normandie>Calvados>Caen;49.18884;-0.36382;0141408E;;Q568554;01/01/1971;Décret n° 70-1174 du 17 décembre 1970 portant érection en établissements publics à caractère scientifique et culturel d'universités et centres universitaires;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000511402/;14118;Caen;UU14701;Caen;D014;Calvados;A70;Normandie;R28;Normandie;R25;Basse-Normandie;;Esplanade de la Paix;;CS 14032;14032;Caen CEDEX 5;France;23915;23434;23776;24209;25543;27173;28044;27802;28139.0;28707.0;29869.0;29809.0;29469.0
Y7ch7;Université Grenoble Alpes;;UGA;Grand établissement;Université pluridisciplinaire avec santé;public;Auvergne-Rhône-Alpes>Grenoble>Isère>Grenoble>Saint-Martin-d'Hères;45.19159;5.76726;0383546Y;"0383493R;0383412C";Q945876;04/11/2019;Décret n° 2019-1123 du 31 octobre 2019 portant création de l'Université Grenoble Alpes et approbation de ses statuts;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039306168/;38421;Saint-Martin-d'Hères;UU38701;Grenoble;D038;Isère;A08;Grenoble;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;621 avenue Centrale;;;38400;Saint-Martin-d'Hères;France;;;;;;;;;;54560.0;54443.0;55034.0;52369.0
